LocationID,Long,Lat,close_class,Jan_temp,Feb_temp,March_temp,April_temp,May_temp,June_temp,July_temp,Aug_temp,Sept_temp,Oct_temp,Nov_temp,Dec_temp,Average_annual_temp
80,-98,60,0.1,-30.4,-28.15,-22.55,-11.75,-1.85,6.725,12.4,11.075,4.325,-3.625,-16.175,-25.2,-8.764583333
81,-95,40,0.1,-4.75,-1.6,4.775,11.725,17.55,22.625,25.075,23.5,19,12.95,5.25,-2.175,11.16041667
82,-100,45,0.1,-10.8,-7.525,-1.25,6.975,13.575,19.125,22.875,21.7,15.475,8.725,-0.55,-8.35,6.664583333
83,-4.05,51.25,0.1,4.7,4.8,6.4,9.1,12,15.3,16.9,16.7,14.5,11.1,7.7,5.6,10.4
84,-0.416666667,51.73333333,0.1,3,3.4,6,8.5,12,15.1,17.1,16.5,14,10.4,6.3,3.9,9.683333333
85,0.883333333,51.1,0.1,3.9,4.2,6.2,8.6,11.8,15.1,17.1,17,14.8,11.2,7.3,4.8,10.16666667
86,0.433333333,52.23333333,0.1,2.6,3.6,5.8,8.2,11.3,14.6,16.2,15.9,13.7,10.4,6.2,3.8,9.358333333
87,-1.8,55.1,0.1,2.7,2.8,4.9,7,9.7,12.8,14.2,14.1,12.2,9.3,5.7,3.6,8.25
88,-2.933333333,56.33333333,0.1,2.15,2.25,4.65,7.15,9.75,13.3,14.4,13.8,11.65,8.65,4.95,3.1,7.983333333
89,0.85,51.08333333,0.1,3.9,4.2,6.2,8.6,11.8,15.1,17.1,17,14.8,11.2,7.3,4.8,10.16666667
90,-0.35,51.81666667,0.1,3.15,3.5,6.05,8.55,11.95,15.1,17,16.45,14.1,10.5,6.45,4.05,9.7375
91,-2.5,55.11666667,0.1,1.15,1.45,3.65,6.1,9.1,12.3,13.8,13.25,10.95,8.05,4.25,2.15,7.183333333
92,-2.533333333,57.53333333,0.1,2.9,2.8,4.6,6.5,9.3,12.4,13.9,13.6,11.6,9,5.4,3.9,7.991666667
94,-88.3,40.13333333,0.1,-4.1,-1.7,4.2,11,17,22.1,23.9,22.8,19.1,12.6,5.1,-1.4,10.88333333
95,-88.65,39.98333333,0.1,-4.15,-1.65,4.45,11.25,17.2,22.3,24,22.9,19.25,12.75,5.4,-1.35,11.02916667
96,-71.75,44,0.1,-9.85,-8.65,-3.05,3.6,10.35,15.25,17.75,16.45,12.05,6.25,0.2,-6.95,4.45
97,-0.333333333,51.25,0.1,3.25,3.8,5.95,8.55,12,15.15,17.15,16.55,13.95,10.55,6.45,4.2,9.795833333
98,-0.083333333,50.76666667,0.1,3.6,4.1,5.9,8.4,11.8,14.9,16.7,16.4,14.1,10.8,6.9,4.6,9.85
99,-1.533333333,51.41666667,0.1,2.8,3.3,5.6,8.2,11.4,14.6,16.1,15.7,13.5,10.1,6.2,4,9.291666667
100,-0.166666667,51.81666667,0.1,3.45,3.8,6.25,8.8,12.1,15.3,17.15,16.65,14.4,10.75,6.75,4.35,9.979166667
101,-2.866666667,54.9,0.1,2.3,2.9,4.9,7.7,10.8,13.9,15.2,14.6,12.2,9.2,5.2,3,8.491666667
102,-0.066666667,53.36666667,0.1,2.6,3,5.8,8,11,14.3,16.3,16,13.7,10,6.1,3.9,9.225
103,-0.85,53.3,0.1,3.2,3.6,6.1,8.4,11.6,14.8,16.5,16.1,13.8,10.2,6.3,4.1,9.558333333
104,-0.716666667,51.75,0.1,2.5,3.1,5.7,8.4,12.1,14.9,17,16.3,13.6,10.3,5.9,3.5,9.441666667
105,-2.183333333,51.18333333,0.1,3.3,3.55,5.4,7.9,11.2,14.45,16.25,15.75,13.35,10,6.2,4.3,9.304166667
106,13.5,66,0.1,-3.875,-3.825,-2,1.025,5.1,9.15,11.45,11.625,7.8,3.975,-0.3,-2.7,3.11875
107,9,61,0.1,-10.325,-9.425,-5.025,-0.6,5.275,9.825,11.425,10.35,5.925,1.1,-5.125,-8.925,0.372916667
108,13.5,66,0.1,-3.875,-3.825,-2,1.025,5.1,9.15,11.45,11.625,7.8,3.975,-0.3,-2.7,3.11875
109,22.5,70,0.1,-15.225,-14.275,-10.575,-5.625,0.825,6.975,9.725,7.825,3.1,-3.05,-9.5,-13.55,-3.6125
110,-59.16666667,55,0.1,-15.65,-15.025,-10.325,-4.225,1.525,6.825,11.175,11.025,7.125,1.675,-3.675,-10.55,-1.675
111,-60.16666667,55.5,0.1,-16.3,-15.5,-10.55,-4.325,1.675,6.425,10.625,10.85,7.175,1.775,-3.65,-11.25,-1.920833333
112,-65,54,0.1,-22.425,-20.3,-14,-6.025,2,8.875,12.975,11.45,5.95,-0.95,-8.725,-18.95,-4.177083333
113,-61.75,56.5,0.1,-18.95,-17.7,-12.15,-5.45,0.8,5.8,10.3,9.95,6,0.35,-5.6,-13.6,-3.354166667
114,-62,57.5,0.1,-19.1,-18.075,-13.225,-6.55,-0.15,4.875,9.25,8.925,5.075,-0.375,-6.075,-13.8,-4.102083333
115,-65,54,0.1,-22.425,-20.3,-14,-6.025,2,8.875,12.975,11.45,5.95,-0.95,-8.725,-18.95,-4.177083333
116,-62.5,58.08333333,0.1,-19.6,-18.65,-14.2,-7.45,-0.8,4.35,8.7,8.3,4.35,-0.95,-6.55,-14.3,-4.733333333
117,-60.75,55.83333333,0.1,-17.45,-16.45,-11.25,-4.85,1.3,6.15,10.45,10.45,6.65,1.1,-4.55,-12.35,-2.566666667
118,-67,58,0.1,-22.775,-21.925,-17,-8.875,-0.325,6.175,10.425,9.6,4.925,-1.05,-7.9,-17.775,-5.541666667
119,11.5,52.45,0.1,-0.05,0.55,3.65,7.95,12.75,16.15,17.75,17.45,13.85,9.2,4.55,1.2,8.75
121,-110.8333333,43.83333333,0.1,-11.825,-10.2,-7.5,-2.25,3.525,8.175,12.225,11.45,6.75,1.275,-5.95,-11.175,-0.458333333
122,-3.133333333,57.41666667,0.1,1.2,1,3.3,5,8,11.4,12.8,12.5,10.3,7.6,3.8,2.1,6.583333333
123,-2.583333333,51.75,0.1,3.5,3.7,5.5,8.2,11.3,14.5,16.1,15.7,13.3,10,6.3,4.4,9.375
125,-3.133333333,57.41666667,0.1,1.2,1,3.3,5,8,11.4,12.8,12.5,10.3,7.6,3.8,2.1,6.583333333
126,-1.5,54,0.1,3.225,3.35,5.375,7.725,10.825,14.025,15.55,15.3,13.15,10,6.025,4,9.045833333
127,1.333333333,52.75,0.1,3.55,4.35,6.4,9.05,12,15.5,17.25,17.2,15.3,11.15,7.2,4.9,10.32083333
128,1.333333333,52.75,0.1,3.55,4.35,6.4,9.05,12,15.5,17.25,17.2,15.3,11.15,7.2,4.9,10.32083333
129,-0.166666667,51.83333333,0.1,3.25,3.65,6.125,8.675,12.025,15.2,17.1,16.6,14.325,10.65,6.6,4.175,9.864583333
130,-1.5,54,0.1,3.225,3.35,5.375,7.725,10.825,14.025,15.55,15.3,13.15,10,6.025,4,9.045833333
131,-3.5,56.33333333,0.1,1.75,2,4.35,6.65,9.65,13.15,14.4,14,11.35,8.45,4.625,2.75,7.760416667
132,1.333333333,52.16666667,0.1,3.15,3.75,5.8,8.15,11.425,14.6,16.375,16.35,14.45,11.175,7.1,4.775,9.758333333
133,-5.083333333,55.75,0.1,2.9,3,5.1,7.1,10.5,13.6,14.4,14.2,11.7,8.9,5.5,3.9,8.4
134,-3,54.66666667,0.1,1.25,1.675,3.675,6.25,9.4,12.5,13.925,13.4,11.075,8.15,4.15,2.025,7.289583333
135,-2.083333333,57.16666667,0.1,2.7,2.95,4.8,6.65,9.25,12.3,13.85,13.65,11.75,8.95,5.35,3.8,8
136,-4.416666667,55.66666667,0.1,2.15,2.3,4.4,6.55,9.95,12.9,13.9,13.65,11.2,8.6,4.7,3.05,7.779166667
137,-0.166666667,51,0.1,3.525,3.95,5.85,8.425,11.7,14.875,16.725,16.375,13.975,10.75,6.7,4.475,9.777083333
138,-3.5,56.33333333,0.1,1.75,2,4.35,6.65,9.65,13.15,14.4,14,11.35,8.45,4.625,2.75,7.760416667
139,-1.583333333,50.83333333,0.1,4.25,4.5,6.3,8.8,11.95,15.1,16.95,16.6,14.3,11.1,7.25,5.3,10.2
140,-97,27.83333333,0.1,13,14.8,18.4,22.03333333,25.26666667,27.86666667,28.86666667,28.86666667,27.33333333,23.53333333,18.93333333,14.7,21.96666667
141,-110.2833333,44.5,0.1,-11.9,-10.3,-7.45,-2.55,3,7.65,11.65,11.05,6.35,1.2,-6,-10.65,-0.6625
142,-73.2,41.7,0.1,-5.3,-4.2,0.9,7,13.1,17.7,20.4,19.5,15.4,9.6,4.1,-2.6,7.966666667
145,-85.08333333,56.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,-109.1666667,31.83333333,0.1,4.5,6.3,8.775,12.725,16.95,21.675,22.875,21.55,19.175,14.225,8.55,4.875,13.51458333
148,-2.5,51.5,0.1,3.6,3.9,5.625,8.225,11.45,14.675,16.4,15.925,13.475,10.15,6.375,4.55,9.529166667
149,-2.5,53.5,0.1,3.475,3.625,5.75,8,11.4,14.475,15.9,15.6,13.375,10.1,6.4,4.475,9.38125
150,21.8,54.6,0.1,-5,-4.1,0.8,7.2,12.7,15.9,17.4,17,13.1,8.3,2.5,-2.2,6.966666667
151,8.216666667,53.13333333,0.1,0.8,0.9,3.9,7.7,12,15.4,16.6,16.4,13.8,9.8,5.1,2.3,8.725
152,-92.5,46.75,0.1,-13.95,-10.6,-4.1,3.95,10.5,15.55,18.75,17.6,12.45,6.55,-2.3,-10.6,3.65
153,1.083333333,51.63333333,0.5,3.466666667,3.933333333,6.02962963,8.403703704,11.58148148,14.86666667,16.83333333,16.70740741,14.62222222,11.08518519,7.081481481,4.688888889,9.941666667
154,140,65,0.1,-46.725,-43.175,-32.65,-17.65,-2.875,7,9.6,6.65,-0.95,-17.375,-36.875,-45,-18.33541667
156,-4.666666667,51.16666667,0.1,4.9,5.2,6.6,8.85,11.95,14.85,16.45,16.7,14.6,11.85,7.95,5.85,10.47916667
157,-5.333333333,51.66666667,0.1,4.3,4.5,5.8,8.4,10.9,14.6,16.4,16.3,13.5,10.7,7.3,5.5,9.85
158,-10.5,51.75,0.1,6.7,6.7,7.5,8.6,10.7,13,14.6,14.7,13.3,11.4,8.6,7.4,10.26666667
159,-10.33333333,51.5,0.1,7,6.9,7.8,9,11,13.4,15,15.1,13.7,11.7,8.9,7.7,10.6
160,-2.633333333,56.08333333,0.1,2.5,2.6,5.2,7.6,10.2,13.5,14.8,14.2,12,9.1,5.5,3.6,8.4
161,-5.133333333,55.25,0.1,3.2,3.1,5.2,7.2,10.5,13.6,14.4,14.3,11.9,9.2,5.7,4.3,8.55
162,-8.5,57.83333333,0.1,3.95,3.65,4.8,6.5,9,11.55,12.65,12.7,10.75,8.8,5.8,4.4,7.879166667
163,-6.25,59.16666667,0.5,4.4,4.3,5,6.3,8.9,11.5,12.6,13,11.2,9.2,6,4.9,8.108333333
164,-4.5,59,0.5,3.516666667,3.216666667,4.616666667,5.833333333,8.916666667,11.95,13.08333333,13.38333333,11.15,8.716666667,5.616666667,4.166666667,7.847222222
165,-7.583333333,62.08333333,0.1,3,2.8,3.3,4.6,6.7,8.9,10.2,10.5,8.9,7.1,4.4,3.2,6.133333333
166,-20.16666667,63.41666667,0.1,1.8,2.1,2.1,3.9,6.5,8.7,10.3,10.3,8.1,5.4,2.9,1.9,5.333333333
167,-22.96666667,63.73333333,0.5,0.35,0.616666667,1.1,3.25,6.466666667,9.016666667,10.8,10.51666667,7.983333333,5.1,2.216666667,0.65,4.838888889
168,-18,66.55,0.1,-1.7,-1.55,-1.8,-0.2,2.85,5.8,7.5,7.6,5.55,3.1,0.35,-1.25,2.1875
169,-61.08333333,47.83333333,0.5,-6.025,-6.925,-3.375,1.3,6.2,11.7,16.525,16.625,12.675,7.35,2.75,-2.625,4.68125
170,-64.16666667,48.5,0.1,-10.125,-9.25,-4.55,1.025,7.15,12.725,16.75,15.925,11.4,5.9,0.55,-6.525,3.414583333
171,-54.25,46.83333333,0.1,-2.45,-3.05,-1.15,2.4,5.7,9.3,13.5,15.05,12.35,8.05,4.3,0,5.333333333
172,-4.916666667,55.75,0.1,2.7,2.8,4.8,7,10.4,13.4,14.3,14.1,11.5,8.8,5.2,3.6,8.216666667
173,-1.25,60.25,0.1,3,2.8,3.6,4.9,7.5,9.9,11.3,11.6,9.8,7.8,4.9,3.7,6.733333333
174,-7,58,0.1,3.125,2.875,4.1,5.775,8.55,11.225,12.4,12.275,10.3,8.125,4.9,3.775,7.285416667
175,-94,58,0.1,-27.675,-25.3,-19.35,-8.875,0,7.275,12.625,11.75,5.55,-1.55,-12.85,-23,-6.783333333
176,9.833333333,46.58333333,0.1,-7.05,-7.1,-5.35,-2.75,1.55,4.95,7.35,7.05,5.2,1.9,-2.95,-5.7,-0.241666667
177,7.5,48.5,0.1,0.625,1.975,5.45,9.15,13.2,16.5,18.55,18.05,15.1,10.125,4.925,1.7,9.6125
178,-1.166666667,52.75,0.1,2.8,3.4,5.95,8.45,11.85,14.95,16.8,16.25,13.75,10.1,5.95,3.95,9.516666667
179,-0.5,53.33333333,0.1,3.15,3.5,5.975,8.225,11.275,14.45,16.3,16.025,13.875,10.25,6.3,4.225,9.4625
180,-2.5,50.75,0.1,3.5,3.55,5.05,7.5,10.8,14.3,16.3,15.75,13.25,10,6.35,4.4,9.229166667
181,-0.5,51,0.1,3.2,3.975,6,8.775,12.05,15.2,17,16.475,13.875,10.675,6.55,4.225,9.833333333
182,-1,51.83333333,0.1,3.05,3.5,6.025,8.625,12.075,14.9,16.8,16.275,13.9,10.625,6.4,4.175,9.695833333
183,-1.333333333,54.5,0.1,3.025,3.225,5.275,7.425,10.35,13.5,15.125,14.875,12.875,9.6,6,3.975,8.770833333
184,-1,51.5,0.1,2.825,3.425,5.975,8.675,12.375,15.025,16.825,16.225,13.675,10.8,6.3,3.85,9.664583333
185,-1.333333333,51.91666667,0.1,2.95,3.4,5.75,8.4,11.55,14.5,16.2,15.85,13.65,10.3,6.35,4.3,9.433333333
186,-2.666666667,52.66666667,0.1,2.175,2.925,5.2,7.675,10.8,13.925,15.325,14.85,12.525,9.3,5.4,3.4,8.625
187,-2.166666667,53.5,0.1,3.55,3.825,5.7,8.15,11.825,15.025,16.6,16.225,13.525,10.125,6.3,4.375,9.602083333
337,21,63,0.1,-7.5,-7.866666667,-3.8,1.966666667,8.233333333,13.76666667,15.96666667,14.46666667,9.566666667,4.333333333,-1.133333333,-5.133333333,3.572222222
338,-112.95,37.33333333,0.1,-1.6,0.3,2.7,6.8,11.7,16.9,20.6,19.45,15.45,9.9,3.35,-0.95,8.716666667
339,-112.95,37.33333333,0.1,-1.6,0.3,2.7,6.8,11.7,16.9,20.6,19.45,15.45,9.9,3.35,-0.95,8.716666667
340,-0.833333333,52.33333333,0.1,2.65,3.3,5.925,8.5,11.775,14.875,16.775,16.25,13.825,10.225,6,3.95,9.504166667
341,169.3666667,-45.18333333,0.1,15.8,15.8,13.7,10.4,6.6,3.1,3,5,8,10.3,12.5,14.6,9.9
342,-2.666666667,51.33333333,0.1,3.275,3.675,5.35,7.975,11.275,14.6,16.3,15.8,13.175,9.75,6.075,4.225,9.289583333
343,5.833333333,52.16666667,0.1,1.625,2.1,4.875,7.65,12.075,15.075,16.475,16.425,14.125,10.35,5.7,2.875,9.1125
344,-122,36.75,0.5,9.2,10.24736842,10.65789474,12.02631579,13.94210526,16.09473684,17.53157895,17.72631579,17.41052632,15.31052632,11.84736842,9.473684211,13.45570175
345,-123.0333333,38.33333333,0.1,8.35,9.75,10.3,11.6,13.45,15.5,16.5,16.75,16.7,14.6,11,8.35,12.7375
346,-123.8333333,39.5,0.1,7.1,8,9.05,10.15,11.95,14.5,15.65,15.9,14.95,12.7,9.7,7.25,11.40833333
347,-124,40.83333333,0.1,6.825,7.875,8.35,9.575,11.775,14.175,15.8,16.25,15.15,12.475,9.1,6.875,11.18541667
348,-124.3333333,42.5,0.1,6.3,7.025,7.2,8.125,10.45,13.1,14.95,15.25,14.1,11.5,8.35,6.4,10.22916667
349,-124.1666667,43.66666667,0.1,6.7,7.9,8.3,9.4,11.575,13.975,15.425,15.825,15.1,12.325,9.075,7,11.05
350,-123.9166667,44.66666667,0.1,5.65,6.95,7.65,8.75,11.15,13.65,15.35,15.7,14.6,11.65,8.15,5.8,10.42083333
351,-123.6666667,45.5,0.1,3.675,4.9,5.45,6.775,9.45,12.25,14.25,14.65,13.2,9.8,6.025,3.875,8.691666667
352,-123.9166667,46.25,0.1,5,6.2,6.8,8.3,10.8,13.1,14.8,15.1,14,10.9,7.6,5.5,9.841666667
353,-124,46.91666667,0.1,4.7,6.1,6.8,8.45,11,13.15,14.7,15.1,14.25,10.9,7.4,5.1,9.804166667
354,-124,42.5,0.1,4.025,5.125,5.625,7,9.9,13.15,15.75,15.875,13.8,10.425,6.3,4.1,9.25625
355,8.183333333,47.38333333,0.1,0.1,1.6,4.9,8.5,12.7,16,18.1,17.4,14.6,10,4.6,1.2,9.141666667
356,-1.883333333,50.91666667,0.1,3.7,3.9,5.8,8.2,11.3,14.6,16.4,16,13.7,10.4,6.7,4.8,9.625
